Time,x,y,z
1900-01-01 11:56:11.312661,-0.009872917773836561,0.002258203815137040,0.0
1900-01-01 11:56:11.412971,-0.028530285613670500,0.001012073879396740,-0.001
1900-01-01 11:56:11.512451,-0.047027725738869330,0.031316675620472300,0.002
1900-01-01 11:56:11.612323,-0.058147955785940400,0.064757326643034600,0.003
1900-01-01 11:56:11.712229,-0.061495989073535100,0.105820154552751000,0.004
1900-01-01 11:56:11.812124,-0.058517456902512000,0.153209104901965000,0.005
1900-01-01 11:56:11.912041,-0.037647130374044000,0.203457555318101000,0.006
1900-01-01 11:56:12.011940,-0.000247018859893589,0.238932115781268000,0.007
1900-01-01 11:56:12.111826,0.048283668154734000,0.266176408102494000,0.008
1900-01-01 11:56:12.211742,0.094968197418093600,0.280209000795515000,0.009
1900-01-01 11:56:12.311640,0.137634196122351000,0.287074716686739000,0.010
1900-01-01 11:56:12.411555,0.173858814666417200,0.283733726012651000,0.011
1900-01-01 11:56:12.511435,0.201015180330156000,0.276828052041743000,0.012
1900-01-01 11:56:12.611349,0.214979556355174000,0.264273054549764000,0.013
1900-01-01 11:56:12.711284,0.221793026435261000,0.247034627619834000,0.014
1900-01-01 11:56:12.811384,0.209515787705126000,0.230653184676494000,0.015
1900-01-01 11:56:12.911035,0.190544725028636000,0.223743729053062000,0.016
1900-01-01 11:56:13.010946,0.163296004096702000,0.220182933045513000,0.017
1900-01-01 11:56:13.110865,0.132850701911472000,0.207104409505702000,0.018
1900-01-01 11:56:13.210847,0.098728471994400000,0.193652331829071000,0.019
1900-01-01 11:56:13.310920,0.063928537368774400,0.175398901104927000,0.020 